Date,Year,Temp Max,Temp Min,Avg Temp,AvgIsOutlier,,,
01-01-1951,1951,26.97,15.65,21.31,no,,,
02-01-1951,1951,26.18,14.69,20.43,no,,,
03-01-1951,1951,26.31,14.95,20.63,no,,,
04-01-1951,1951,26.73,14.84,20.78,no,,,
05-01-1951,1951,26.93,14.53,20.73,no,,,
06-01-1951,1951,26.25,13.49,19.87,no,,,
07-01-1951,1951,26.45,12.70,19.58,no,,,
08-01-1951,1951,25.69,15.81,20.75,no,,,
09-01-1951,1951,25.89,15.28,20.58,no,,,
10-01-1951,1951,26.62,15.27,20.95,no,,,
11-01-1951,1951,27.05,15.15,21.10,no,,,
12-01-1951,1951,27.77,14.77,21.27,no,,,
13-01-1951,1951,28.22,15.94,22.08,no,,,
14-01-1951,1951,27.87,16.62,22.25,no,,,
15-01-1951,1951,27.91,16.48,22.19,no,,,
16-01-1951,1951,26.79,18.37,22.58,no,,,
17-01-1951,1951,27.85,18.08,22.97,no,,,
18-01-1951,1951,28.00,17.28,22.64,no,,,
19-01-1951,1951,27.70,16.64,22.17,no,,,
20-01-1951,1951,29.33,17.33,23.33,no,,,
21-01-1951,1951,28.94,17.21,23.07,no,,,
22-01-1951,1951,28.45,17.03,22.74,no,,,
23-01-1951,1951,27.59,17.07,22.33,no,,,
24-01-1951,1951,26.97,17.06,22.01,no,,,
25-01-1951,1951,28.33,16.65,22.49,no,,,
26-01-1951,1951,28.28,16.39,22.34,no,,,
27-01-1951,1951,27.87,13.74,20.81,no,,,
28-01-1951,1951,27.79,13.54,20.67,no,,,
29-01-1951,1951,27.98,14.48,21.23,no,,,
30-01-1951,1951,28.18,13.96,21.07,no,,,
31-01-1951,1951,28.39,14.39,21.39,no,,,
01-02-1951,1951,28.41,15.10,21.76,no,,,
02-02-1951,1951,28.78,15.55,22.17,no,,,
03-02-1951,1951,30.10,15.96,23.03,no,,,
04-02-1951,1951,29.44,16.44,22.94,no,,,
05-02-1951,1951,28.90,16.13,22.51,no,,,
06-02-1951,1951,28.84,16.05,22.44,no,,,
07-02-1951,1951,29.77,16.82,23.30,no,,,
08-02-1951,1951,28.83,17.06,22.94,no,,,
09-02-1951,1951,27.97,17.27,22.62,no,,,
10-02-1951,1951,28.26,17.25,22.76,no,,,
11-02-1951,1951,29.48,17.86,23.67,no,,,
12-02-1951,1951,30.00,18.00,24.00,no,,,
13-02-1951,1951,31.02,16.52,23.77,no,,,
14-02-1951,1951,31.17,16.48,23.82,no,,,
15-02-1951,1951,29.79,16.03,22.91,no,,,
16-02-1951,1951,31.09,15.92,23.51,no,,,
17-02-1951,1951,30.63,17.14,23.88,no,,,
18-02-1951,1951,30.49,16.29,23.39,no,,,
19-02-1951,1951,30.00,15.02,22.51,no,,,
20-02-1951,1951,31.71,15.74,23.72,no,,,
21-02-1951,1951,31.57,16.91,24.24,no,,,
22-02-1951,1951,31.38,14.97,23.17,no,,,
23-02-1951,1951,30.91,15.06,22.99,no,,,
24-02-1951,1951,31.74,14.94,23.34,no,,,
25-02-1951,1951,32.69,16.03,24.36,no,,,
26-02-1951,1951,32.97,15.92,24.45,no,,,
27-02-1951,1951,32.88,15.74,24.31,no,,,
28-02-1951,1951,33.20,16.32,24.76,no,,,
01-03-1951,1951,33.36,17.15,25.26,no,,,
02-03-1951,1951,33.78,17.47,25.62,no,,,
03-03-1951,1951,32.93,16.97,24.95,no,,,
04-03-1951,1951,31.27,16.89,24.08,no,,,
05-03-1951,1951,31.58,17.69,24.64,no,,,
06-03-1951,1951,32.60,16.90,24.75,no,,,
07-03-1951,1951,32.71,17.06,24.88,no,,,
08-03-1951,1951,32.16,17.73,24.94,no,,,
09-03-1951,1951,32.93,17.34,25.14,no,,,
10-03-1951,1951,33.21,17.83,25.52,no,,,
11-03-1951,1951,33.30,17.13,25.21,no,,,
12-03-1951,1951,33.47,17.28,25.38,no,,,
13-03-1951,1951,33.54,17.58,25.56,no,,,
14-03-1951,1951,33.52,18.85,26.19,no,,,
15-03-1951,1951,33.94,18.51,26.22,no,,,
16-03-1951,1951,32.97,16.90,24.94,no,,,
17-03-1951,1951,33.04,18.76,25.90,no,,,
18-03-1951,1951,33.33,20.49,26.91,no,,,
19-03-1951,1951,34.38,20.79,27.59,no,,,
20-03-1951,1951,34.35,21.55,27.95,no,,,
21-03-1951,1951,34.03,21.69,27.86,no,,,
22-03-1951,1951,35.25,21.84,28.55,no,,,
23-03-1951,1951,35.05,23.13,29.09,no,,,
24-03-1951,1951,34.82,23.27,29.05,no,,,
25-03-1951,1951,33.53,20.13,26.83,no,,,
26-03-1951,1951,32.73,21.18,26.95,no,,,
27-03-1951,1951,32.77,21.43,27.10,no,,,
28-03-1951,1951,32.27,20.54,26.41,no,,,
29-03-1951,1951,31.81,20.92,26.36,no,,,
30-03-1951,1951,32.69,22.35,27.52,no,,,
31-03-1951,1951,31.90,20.51,26.20,no,,,
01-04-1951,1951,31.88,20.45,26.16,no,,,
02-04-1951,1951,31.30,21.20,26.25,no,,,
03-04-1951,1951,32.55,22.13,27.34,no,,,
04-04-1951,1951,31.06,22.09,26.57,no,,,
05-04-1951,1951,32.30,21.83,27.06,no,,,
06-04-1951,1951,33.55,22.34,27.94,no,,,
07-04-1951,1951,33.42,22.16,27.79,no,,,
08-04-1951,1951,33.91,22.17,28.04,no,,,
09-04-1951,1951,33.39,21.06,27.22,no,,,
10-04-1951,1951,34.36,22.06,28.21,no,,,
11-04-1951,1951,33.87,22.67,28.27,no,,,
12-04-1951,1951,29.75,20.81,25.28,no,,,
13-04-1951,1951,30.70,20.74,25.72,no,,,
14-04-1951,1951,30.10,21.56,25.83,no,,,
15-04-1951,1951,31.48,21.30,26.39,no,,,
16-04-1951,1951,31.39,21.06,26.22,no,,,
17-04-1951,1951,32.10,21.72,26.91,no,,,
18-04-1951,1951,33.04,22.17,27.61,no,,,
19-04-1951,1951,33.39,22.40,27.89,no,,,
20-04-1951,1951,33.29,21.06,27.18,no,,,
21-04-1951,1951,31.29,20.56,25.93,no,,,
22-04-1951,1951,32.37,20.88,26.62,no,,,
23-04-1951,1951,32.57,22.24,27.40,no,,,
24-04-1951,1951,33.05,22.43,27.74,no,,,
25-04-1951,1951,32.77,21.95,27.36,no,,,
26-04-1951,1951,33.47,22.88,28.18,no,,,
27-04-1951,1951,34.82,23.07,28.94,no,,,
28-04-1951,1951,33.51,21.18,27.34,no,,,
29-04-1951,1951,33.59,22.23,27.91,no,,,
30-04-1951,1951,33.69,21.37,27.53,no,,,
01-05-1951,1951,33.63,20.42,27.03,no,,,
02-05-1951,1951,33.01,21.67,27.34,no,,,
03-05-1951,1951,33.53,22.14,27.83,no,,,
04-05-1951,1951,33.57,22.42,27.99,no,,,
05-05-1951,1951,33.90,22.72,28.31,no,,,
06-05-1951,1951,34.29,21.85,28.07,no,,,
07-05-1951,1951,33.85,22.60,28.22,no,,,
08-05-1951,1951,34.25,23.22,28.73,no,,,
09-05-1951,1951,34.92,22.61,28.76,no,,,
10-05-1951,1951,34.91,23.21,29.06,no,,,
11-05-1951,1951,35.00,22.53,28.77,no,,,
12-05-1951,1951,34.59,22.90,28.74,no,,,
13-05-1951,1951,34.21,20.90,27.55,no,,,
14-05-1951,1951,33.44,24.70,29.07,no,,,
15-05-1951,1951,34.05,22.30,28.17,no,,,
16-05-1951,1951,34.17,22.73,28.45,no,,,
17-05-1951,1951,34.57,24.50,29.53,no,,,
18-05-1951,1951,34.75,19.69,27.22,no,,,
19-05-1951,1951,32.85,21.85,27.35,no,,,
20-05-1951,1951,33.71,22.11,27.91,no,,,
21-05-1951,1951,33.27,22.45,27.86,no,,,
22-05-1951,1951,33.54,20.35,26.95,no,,,
23-05-1951,1951,32.42,22.33,27.37,no,,,
24-05-1951,1951,32.01,20.97,26.49,no,,,
25-05-1951,1951,31.35,20.44,25.90,no,,,
26-05-1951,1951,30.88,22.01,26.44,no,,,
27-05-1951,1951,32.40,20.86,26.63,no,,,
28-05-1951,1951,31.86,21.52,26.69,no,,,
29-05-1951,1951,32.34,21.30,26.82,no,,,
30-05-1951,1951,30.04,21.78,25.91,no,,,
31-05-1951,1951,31.13,21.75,26.44,no,,,
01-06-1951,1951,29.77,20.18,24.98,no,,,
02-06-1951,1951,26.66,20.43,23.55,no,,,
03-06-1951,1951,28.38,21.01,24.69,no,,,
04-06-1951,1951,29.52,21.73,25.63,no,,,
05-06-1951,1951,29.04,20.88,24.96,no,,,
06-06-1951,1951,28.72,20.39,24.55,no,,,
07-06-1951,1951,28.63,20.64,24.63,no,,,
08-06-1951,1951,29.17,20.83,25.00,no,,,
09-06-1951,1951,29.89,21.11,25.50,no,,,
10-06-1951,1951,28.66,20.78,24.72,no,,,
11-06-1951,1951,29.28,20.48,24.88,no,,,
12-06-1951,1951,28.10,21.12,24.61,no,,,
13-06-1951,1951,28.20,20.62,24.41,no,,,
14-06-1951,1951,28.50,19.89,24.19,no,,,
15-06-1951,1951,28.61,20.50,24.56,no,,,
16-06-1951,1951,28.40,21.20,24.80,no,,,
17-06-1951,1951,30.14,20.66,25.40,no,,,
18-06-1951,1951,30.31,20.24,25.27,no,,,
19-06-1951,1951,29.63,20.45,25.04,no,,,
20-06-1951,1951,29.26,20.36,24.81,no,,,
21-06-1951,1951,28.20,20.50,24.35,no,,,
22-06-1951,1951,28.88,20.69,24.78,no,,,
23-06-1951,1951,28.36,20.74,24.55,no,,,
24-06-1951,1951,28.56,20.77,24.66,no,,,
25-06-1951,1951,27.92,19.88,23.90,no,,,
